NAME_CN,SCIENTIFIC_NAME
毛果芍藥,Paeonia lactiflora var. trichocarpa (Bge.) Stern
美丽芍药,Paeonia mairei Levl.
美麗芍藥,Paeonia mairei Levl.
草芍药,Paeonia obovata Maxim.
草芍藥,Paeonia obovata Maxim.
毛叶草芍药,Paeonia obovata var. Willmottiae (Stapf) Stern
毛葉草芍藥,Paeonia obovata var. Willmottiae (Stapf) Stern
新疆芍药,Paeonia sinjiangensis K. Y. Pan
新疆芍藥,Paeonia sinjiangensis K. Y. Pan
白花芍药,Paeonia sterniana Fletcher
白花芍藥,Paeonia sterniana Fletcher
牡丹,Paeonia suffruticosa Andr.
紫斑牡丹,Paeonia suffruticosa var. papaveracea (Andr.) Kerner
矮牡丹,Paeonia suffruticosa var. spontanea Rehd.
四川牡丹,Paeonia szechuanica Fang
川赤芍,Paeonia veitchii Lynch
光果赤芍,Paeonia veitchii var. leiocarpa W. T. Wang et S. H. Wang
单花赤芍,Paeonia veitchii var. uniflora K. Y. Pan
單花赤芍,Paeonia veitchii var. uniflora K. Y. Pan
毛赤芍,Paeonia veitchii var. woodwardii
曲轴蕨属,Paesia
曲軸蕨屬,Paesia
台湾曲轴蕨,Paesia taiwanensis Shieh
臺灣曲軸蕨,Paesia taiwanensis Shieh
胶木属,Palaquium
膠木屬,Palaquium
台湾胶木,Palaquium formosanum Hay.
臺灣膠木,Palaquium formosanum Hay.
垂穗石松,Palhinhaea cernua (L.) Vasc. et Franco
毛枝垂穗石松,Palhinhaea cernua f. sikkimensis (Mueller) H. S. Kung
海南垂穗石松,Palhinhaea hainanensis C. Y. Yang
光枝海南垂穗石松,Palhinhaea hainanensis f. glabra H. S. Kung et L. B. Zhang
马甲子属,Paliurus
馬甲子屬,Paliurus
铜钱树,Paliurus hemsleyanus Rehd.
銅錢樹,Paliurus hemsleyanus Rehd.
硬毛马甲子,Paliurus hirsutus Hemsl.
硬毛馬甲子,Paliurus hirsutus Hemsl.
短柄铜钱树,Paliurus orientalis (Franch.) Hemsl.
短柄銅錢樹,Paliurus orientalis (Franch.) Hemsl.
马甲子,Paliurus ramosissimus (Lour.) Poir.
馬甲子,Paliurus ramosissimus (Lour.) Poir.
滨枣,Paliurus spinachristi Mill.
濱棗,Paliurus spinachristi Mill.
棕榈科,Palmae
棕櫚科,Palmae
人参属,Panax
人參屬,Panax
人参,Panax ginseng C. A. Mey.
人參,Panax ginseng C. A. Mey.
狭叶假人参,Panax pseudoginseng var. angustifolius (Burkill) Li
狹葉假人參,Panax pseudoginseng var. angustifolius (Burkill) Li
羽叶三七,Panax pseudoginseng var. bipinnatifidus (Seem.) Li
羽葉三七,Panax pseudoginseng var. bipinnatifidus (Seem.) Li
秀丽假人参,Panax pseudoginseng var. elegantior (Burkill) Hoo et Tseng
秀麗假人參,Panax pseudoginseng var. elegantior (Burkill) Hoo et Tseng
大叶三七,Panax pseudoginseng var. japonicus (C. A. Mey.) Hoo et Tseng
大葉三七,Panax pseudoginseng var. japonicus (C. A. Mey.) Hoo et Tseng
三七,Panax pseudoginseng var. notoginseng (Burkill) Hoo et Tseng
假人参,Panax pseudoginseng Wall.
假人參,Panax pseudoginseng Wall.
姜状三七,Panax zingiberensis C. Y. Wu et K. M. Feng
薑狀三七,Panax zingiberensis C. Y. Wu et K. M. Feng
姜狀三七,Panax zingiberensis C. Y. Wu et K. M. Feng
全能花属,Pancratium
全能花屬,Pancratium
全能花,Pancratium biflorum Roxb.
攀打科,Pandaceae
露兜树科,Pandanaceae
露兜樹科,Pandanaceae
露兜树属,Pandanus
露兜樹屬,Pandanus
香露兜,Pandanus amaryllifolius Roxb.
露兜草,Pandanus austrosinensis T. L. Wu
长叶露兜草,Pandanus austrosinensis var. longifolius L. Y. Zhou et X. W. Zhong
長葉露兜草,Pandanus austrosinensis var. longifolius L. Y. Zhou et X. W. Zhong
簕古子,Pandanus forceps Martelli
分叉露兜,Pandanus furcatus Roxb.
小露兜,Pandanus gressittii B. C. Stone
露兜树,Pandanus tectorius Sol.
露兜樹,Pandanus tectorius Sol.
林投,Pandanus tectorius var. sinensis Warb.
扇叶露兜树,Pandanus utilis Borg.
扇葉露兜樹,Pandanus utilis Borg.
兜藜属,Panderia
兜藜屬,Panderia
兜藜,Panderia turkestanica Iljin
黍属,Panicum
黍屬,Panicum
可爱黍,Panicum amoenum Balansa
可愛黍,Panicum amoenum Balansa
糠稷,Panicum bisulcatum Thunb.
短叶黍,Panicum brevifolium L.
短葉黍,Panicum brevifolium L.
大罗网草,Panicum cambogiense Balansa
大羅網草,Panicum cambogiense Balansa
冠黍,Panicum cristatellum Keng
洋野黍,Panicum dichotomiflorum Michx.
藤竹草,Panicum incomtum Trin.
滇西黍,Panicum khasianum Munro ex Hook. f.
大黍,Panicum maximum Jacq.
稷,Panicum miliaceum L.
心叶稷,Panicum notatum Retz.
心葉稷,Panicum notatum Retz.
水生黍,Panicum paludosum Roxb.
细柄黍,Panicum psilopodium Trin.
細柄黍,Panicum psilopodium Trin.
无稃细柄黍,Panicum psilopodium var. epaleatum Keng
無稃細柄黍,Panicum psilopodium var. epaleatum Keng
铺地黍,Panicum repens L.
鋪地黍,Panicum repens L.
发枝稷,Panicum trichoides Swartz
發枝稷,Panicum trichoides Swartz
旱黍草,Panicum trypheron Schult.
柳枝稷,Panicum virgatum L.
南亚稷,Panicum walense Mez
南亞稷,Panicum walense Mez
曲唇兰属,Panisea
曲唇蘭屬,Panisea
平卧曲唇兰,Panisea cavalerei Schltr.
平臥曲唇蘭,Panisea cavalerei Schltr.
曲唇兰,Panisea tricallosa Rolfe
曲唇蘭,Panisea tricallosa Rolfe
单花曲唇兰,Panisea uniflora (Lindl.) Lindl.
單花曲唇蘭,Panisea uniflora (Lindl.) Lindl.
云南曲唇兰,Panisea yunnanensis S. C. Chen et Z. H. Tsi
雲南曲唇蘭,Panisea yunnanensis S. C. Chen et Z. H. Tsi
脓疮草属,Panzeria
膿瘡草屬,Panzeria
脓疮草,Panzeria alaschanica Kupr.
膿瘡草,Panzeria alaschanica Kupr.
小花,Panzeria alaschanica var. minor C. Y. Wu et H. W. Li
甘肃脓疮草,Panzeria kansuensis C. Y. Wu et H. W. Li
甘肅膿瘡草,Panzeria kansuensis C. Y. Wu et H. W. Li
小花脓疮草,Panzeria parviflora C. Y. Wu et H. W. Li
小花膿瘡草,Panzeria parviflora C. Y. Wu et H. W. Li
罂粟属,Papaver
罌粟屬,Papaver
灰毛罂粟,Papaver canescens A. Tolm.
灰毛罌粟,Papaver canescens A. Tolm.
毛果野罂粟,Papaver nudicaule f. seticarpum (P. Y. Fu) H. Chuang
毛果野罌粟,Papaver nudicaule f. seticarpum (P. Y. Fu) H. Chuang
野罂粟,Papaver nudicaule L.
野罌粟,Papaver nudicaule L.
黑水罂粟,Papaver nudicaule var. aquilegioides f. amruense (Busch) H. Chuang
黑水罌粟,Papaver nudicaule var. aquilegioides f. amruense (Busch) H. Chuang
鬼罂粟,Papaver orientale L.
鬼罌粟,Papaver orientale L.
白花黑环罂粟,Papaver pavoninum f. album X. J. Ge
白花黑環罌粟,Papaver pavoninum f. album X. J. Ge
黑环罂粟,Papaver pavoninum Fisch. et Mey.
黑環罌粟,Papaver pavoninum Fisch. et Mey.
长白山罂粟,Papaver radicatum var. pseudoradicatum (Kitag.) Kitag.
長白山罌粟,Papaver radicatum var. pseudoradicatum (Kitag.) Kitag.
虞美人,Papaver rhoeas L.
罂粟,Papaver somniferum L.
罌粟,Papaver somniferum L.
罂粟科,Papaveraceae
罌粟科,Papaveraceae
兜兰属,Paphiopedilum
兜蘭屬,Paphiopedilum
卷萼兜兰,Paphiopedilum appletonianum (Gower) Rolfe
卷萼兜蘭,Paphiopedilum appletonianum (Gower) Rolfe
杏黄兜兰,Paphiopedilum armeniacum S. C. Chen et F. Y. Liu
杏黃兜蘭,Paphiopedilum armeniacum S. C. Chen et F. Y. Liu
小叶兜兰,Paphiopedilum barbigerum T. Tang et F. T. Wang
小葉兜蘭,Paphiopedilum barbigerum T. Tang et F. T. Wang
巨瓣兜兰,Paphiopedilum bellatulum (Rchb. f.) Stein
巨瓣兜蘭,Paphiopedilum bellatulum (Rchb. f.) Stein
同色兜兰,Paphiopedilum concolor (Bateman) Pfitz.
同色兜蘭,Paphiopedilum concolor (Bateman) Pfitz.
长瓣兜兰,Paphiopedilum dianthum T. Tang et F. T. Wang
長瓣兜蘭,Paphiopedilum dianthum T. Tang et F. T. Wang
白花兜兰,Paphiopedilum emersonii Koopowitz et Cribb.
白花兜蘭,Paphiopedilum emersonii Koopowitz et Cribb.
亨利兜兰,Paphiopedilum henryanum Braem
亨利兜蘭,Paphiopedilum henryanum Braem
无斑兜兰,Paphiopedilum henryanum var. christae Braem
無斑兜蘭,Paphiopedilum henryanum var. christae Braem
带叶兜兰,Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein
帶葉兜蘭,Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein
波瓣兜兰,Paphiopedilum insigne (Lindl.) Pfitz.
波瓣兜蘭,Paphiopedilum insigne (Lindl.) Pfitz.
麻栗坡兜兰,Paphiopedilum malipoense S. C. Chen
麻栗坡兜蘭,Paphiopedilum malipoense S. C. Chen
虎斑兜兰,Paphiopedilum markianum Fowlie
虎斑兜蘭,Paphiopedilum markianum Fowlie
硬叶兜兰,Paphiopedilum micranthum T. Tang et F. T. Wang
硬葉兜蘭,Paphiopedilum micranthum T. Tang et F. T. Wang
雪白兜兰,Paphiopedilum niveum (Rchb.f.) Stein
雪白兜蘭,Paphiopedilum niveum (Rchb.f.) Stein
飘带兜兰,Paphiopedilum parishii (Rchb. f.) Stein
飄帶兜蘭,Paphiopedilum parishii (Rchb. f.) Stein
紫纹兜兰,Paphiopedilum purpuratum (Lindl.) Stein
紫紋兜蘭,Paphiopedilum purpuratum (Lindl.) Stein
秀丽兜兰,Paphiopedilum venustum (Sims) Pfitz.
秀麗兜蘭,Paphiopedilum venustum (Sims) Pfitz.
紫毛兜兰,Paphiopedilum villosum (Lindl.) Stein
紫毛兜蘭,Paphiopedilum villosum (Lindl.) Stein
彩云兜兰,Paphiopedilum wardii Summerh.
彩雲兜蘭,Paphiopedilum wardii Summerh.
凤蝶兰属,Papilionanthe
鳳蝶蘭屬,Papilionanthe
白花凤蝶兰,Papilionanthe biswasiana (Ghose et Mukerjee) Garay
白花鳳蝶蘭,Papilionanthe biswasiana (Ghose et Mukerjee) Garay
凤蝶兰,Papilionanthe teres (Roxb.) Schltr.
鳳蝶蘭,Papilionanthe teres (Roxb.) Schltr.
连蕊藤属,Parabaena
連蕊藤屬,Parabaena
连蕊藤,Parabaena sagittata Miers
連蕊藤,Parabaena sagittata Miers
杜仲藤属,Parabarium
杜仲藤屬,Parabarium
红杜仲藤,Parabarium chunianum Tsiang
紅杜仲藤,Parabarium chunianum Tsiang
海南杜仲藤,Parabarium hainanense Tsiang
毛杜仲藤,Parabarium huaitingii Chun et Tsiang
牛角藤,Parabarium linearicarpum (Pierre) Pichon
杜仲藤,Parabarium micranthum (A. DC.) Pierre
中赛格多,Parabarium spireanum Pierre
中賽格多,Parabarium spireanum Pierre
大赛格多,Parabarium tournieri Pierre
大賽格多,Parabarium tournieri Pierre
蛛毛苣苔属,Paraboea
蛛毛苣苔屬,Paraboea
髯丝蛛毛苣苔,Paraboea barbatipes K. Y. Pan
髯絲蛛毛苣苔,Paraboea barbatipes K. Y. Pan
厚叶蛛毛苣苔,Paraboea crassifolia (Hemsl.) Burtt
厚葉蛛毛苣苔,Paraboea crassifolia (Hemsl.) Burtt
网脉蛛毛苣苔,Paraboea dictyoneura (Hance) Burtt
網脈蛛毛苣苔,Paraboea dictyoneura (Hance) Burtt
丝梗蛛毛苣苔,Paraboea filipes (Hance) Burtt
絲梗蛛毛苣苔,Paraboea filipes (Hance) Burtt
海南蛛毛苣苔,Paraboea hainanensis (Chun) Burtt
白花蛛毛苣苔,Paraboea martinii (Levl.) Burtt
云南蛛毛苣苔,Paraboea neurophylla (Coll. et Hemsl.) Burtt
雲南蛛毛苣苔,Paraboea neurophylla (Coll. et Hemsl.) Burtt
伞花蛛毛苣苔,Paraboea rufescens var. umbellata (Drake) K. Y. Pan
傘花蛛毛苣苔,Paraboea rufescens var. umbellata (Drake) K. Y. Pan
蛛毛苣苔,Paraboea sinensis (Oliv.) Burtt
锥序蛛毛苣苔,Paraboea swinhoii (Hance) Burtt
錐序蛛毛苣苔,Paraboea swinhoii (Hance) Burtt
小花蛛毛苣苔,Paraboea thirionii (Levl.) Burtt
密叶蛛毛苣苔,Paraboea velutina (W. T. Wang et C. Z. Gao) Burtt
密葉蛛毛苣苔,Paraboea velutina (W. T. Wang et C. Z. Gao) Burtt
兰嵌马蓝属,Parachampionella
蘭嵌馬藍屬,Parachampionella
曲茎兰嵌马蓝,Parachampionella flexicaulis (Hayata) C. F. Hsieh et T. C. Huang
曲莖蘭嵌馬藍,Parachampionella flexicaulis (Hayata) C. F. Hsieh et T. C. Huang
兰嵌马蓝,Parachampionella rankanensis (Hayata) Bremek.
蘭嵌馬藍,Parachampionella rankanensis (Hayata) Bremek.
琉球兰嵌马蓝,Parachampionella tashiroi (Hayata) Bremek.
琉球蘭嵌馬藍,Parachampionella tashiroi (Hayata) Bremek.
假拟沿沟草属,Paracolpodium
假擬沿溝草屬,Paracolpodium
假拟沿沟草,Paracolpodium altaicum (Trin.) Tzvel.
假擬沿溝草,Paracolpodium altaicum (Trin.) Tzvel.
高山假拟沿沟草,Paracolpodium altaicum subsp. leucolepis (Nevski) Tzvel.
高山假擬沿溝草,Paracolpodium altaicum subsp. leucolepis (Nevski) Tzvel.
藏假拟沿沟草,Paracolpodium tibeticum (Bor) E. Alexeev
藏假擬沿溝草,Paracolpodium tibeticum (Bor) E. Alexeev
假钻毛蕨属,Paradavallodes
假鑽毛蕨屬,Paradavallodes
假鉆毛蕨屬,Paradavallodes
秦氏假钻毛蕨,Paradavallodes chingae (Ching) Ching
秦氏假鑽毛蕨,Paradavallodes chingae (Ching) Ching
秦氏假鉆毛蕨,Paradavallodes chingae (Ching) Ching
甘肃假钻毛蕨,Paradavallodes kansuense Ching
甘肅假鑽毛蕨,Paradavallodes kansuense Ching
甘肅假鉆毛蕨,Paradavallodes kansuense Ching
膜叶假钻毛蕨,Paradavallodes membranulosum (Wall. ex Hook.) Ching
膜葉假鑽毛蕨,Paradavallodes membranulosum (Wall. ex Hook.) Ching
膜葉假鉆毛蕨,Paradavallodes membranulosum (Wall. ex Hook.) Ching
假钻毛蕨,Paradavallodes multidentatum (Hook. et Bak.) Ching
假鑽毛蕨,Paradavallodes multidentatum (Hook. et Bak.) Ching
假鉆毛蕨,Paradavallodes multidentatum (Hook. et Bak.) Ching
平当树属,Paradombeya
平當樹屬,Paradombeya
平当树,Paradombeya sinensis Dunn
平當樹,Paradombeya sinensis Dunn
南一笼鸡属,Paragutzlaffia
南一籠雞屬,Paragutzlaffia
南一笼鸡,Paragutzlaffia henryi (Hemsl.) H. P. Tsui
南一籠雞,Paragutzlaffia henryi (Hemsl.) H. P. Tsui
异蕊一笼鸡,Paragutzlaffia lyi (Levl.) H. P. Tsui
異蕊一籠雞,Paragutzlaffia lyi (Levl.) H. P. Tsui
黄瓜菜属,Paraixeris
黃瓜菜屬,Paraixeris
少花黄瓜菜,Paraixeris chelidonifolia (Makino) Nakai
少花黃瓜菜,Paraixeris chelidonifolia (Makino) Nakai
黄瓜菜,Paraixeris denticulata (Houtt.) Nakai
黃瓜菜,Paraixeris denticulata (Houtt.) Nakai
心叶黄瓜菜,Paraixeris humifusa (Dunn) Shih
心葉黃瓜菜,Paraixeris humifusa (Dunn) Shih
羽裂黄瓜菜,Paraixeris pinnatipartita (Makino) Tzvel.
羽裂黃瓜菜,Paraixeris pinnatipartita (Makino) Tzvel.
岩黄瓜菜,Paraixeris saxatilis (A. Baran.) Tzvel.
巖黃瓜菜,Paraixeris saxatilis (A. Baran.) Tzvel.
尖裂黄瓜菜,Paraixeris serotina (Maxim.) Tzvel.
尖裂黃瓜菜,Paraixeris serotina (Maxim.) Tzvel.
拟单性木兰属,Parakmeria
擬單性木蘭屬,Parakmeria
恒春拟单性木兰,Parakmeria kachirachirai (Kanehira et Yamamoto) Law
恒春擬單性木蘭,Parakmeria kachirachirai (Kanehira et Yamamoto) Law
乐东拟单性木兰,Parakmeria lotungensis (Chun et C. Tsoong) Law
樂東擬單性木蘭,Parakmeria lotungensis (Chun et C. Tsoong) Law
光叶拟单性木兰,Parakmeria nitida (W. W. Smith) Law
光葉擬單性木蘭,Parakmeria nitida (W. W. Smith) Law
峨眉拟单性木兰,Parakmeria omeiensis Cheng
峨眉擬單性木蘭,Parakmeria omeiensis Cheng
云南拟单性木兰,Parakmeria yunnanensis Hu
雲南擬單性木蘭,Parakmeria yunnanensis Hu
假野芝麻属,Paralamium
假野芝麻屬,Paralamium
假野芝麻,Paralamium gracile Dunn
長節珠屬,Parameria
长节珠属,Parameria
長節珠,Parameria laevigata (Juss.) Moldenke
长节珠,Parameria laevigata (Juss.) Moldenke
合果木属,Paramichelia
合果木屬,Paramichelia
合果木,Paramichelia baillonii (Pierre) Hu
假小喙菊属,Paramicrorhynchus
假小喙菊屬,Paramicrorhynchus
假小喙菊,Paramicrorhynchus procumbens (Roxb.) Kirp.
单叶藤橘属,Paramignya
單葉藤橘屬,Paramignya
单叶藤橘,Paramignya confertifolia Swingle
單葉藤橘,Paramignya confertifolia Swingle
直刺藤橘,Paramignya rectispina Craib
假韶子属,Paranephelium
假韶子屬,Paranephelium
海南假韶子,Paranephelium hainanensis H. S. Lo
云南假韶子,Paranephelium hystrix Radlk.
雲南假韶子,Paranephelium hystrix Radlk.
假糙苏属,Paraphlomis
假糙蘇屬,Paraphlomis
白毛假糙苏,Paraphlomis albida Hand.-Mazz.
白毛假糙蘇,Paraphlomis albida Hand.-Mazz.
短齿,Paraphlomis albida var. brevidens Hand.-Mazz.
短齒,Paraphlomis albida var. brevidens Hand.-Mazz.
绒毛假糙苏,Paraphlomis albotomentosa C. Y. Wu
絨毛假糙蘇,Paraphlomis albotomentosa C. Y. Wu
短叶假糙苏,Paraphlomis brevifolia C. Y. Wu et H. W. Li
短葉假糙蘇,Paraphlomis brevifolia C. Y. Wu et H. W. Li
曲茎假糙苏,Paraphlomis foliata (Dunn) C. Y. Wu et H. W.
曲莖假糙蘇,Paraphlomis foliata (Dunn) C. Y. Wu et H. W.
纤细假糙苏,Paraphlomis gracilis Kudo
纖細假糙蘇,Paraphlomis gracilis Kudo
罗甸,Paraphlomis gracilis var. lutienonsis (Sun) C. Y. Wu
羅甸,Paraphlomis gracilis var. lutienonsis (Sun) C. Y. Wu
多硬毛假糙苏,Paraphlomis hirsutissima C. Y. Wu et H. W. Li
多硬毛假糙蘇,Paraphlomis hirsutissima C. Y. Wu et H. W. Li
刚毛假糙苏,Paraphlomis hispida C. Y. Wu
剛毛假糙蘇,Paraphlomis hispida C. Y. Wu
中间假糙苏,Paraphlomis intermedia C. Y. Wu et H. W. Li
中間假糙蘇,Paraphlomis intermedia C. Y. Wu et H. W. Li
假糙苏,Paraphlomis javanica (Bl.) Prain
假糙蘇,Paraphlomis javanica (Bl.) Prain
爪哇假糙苏狭叶,Paraphlomis javanica var. angustifolia (C. Y. Wu) C. Y. Wu et H. W. Li
爪哇假糙蘇狹葉,Paraphlomis javanica var. angustifolia (C. Y. Wu) C. Y. Wu et H. W. Li
小叶假糙苏,Paraphlomis javanica var. coronata (Vaniot) C. Y. Wu et H. W. Li
小葉假糙蘇,Paraphlomis javanica var. coronata (Vaniot) C. Y. Wu et H. W. Li
爪哇假糙苏短齿,Paraphlomis javanica var. henryi (Yamamoto) C. Y. Wu et H. W. Li
爪哇假糙蘇短齒,Paraphlomis javanica var. henryi (Yamamoto) C. Y. Wu et H. W. Li
八角花,Paraphlomis kwangtungensis C. Y. Wu et H. W. Li
長葉假糙蘇,Paraphlomis lanceolata Hand.-Mazz.
长叶假糙苏,Paraphlomis lanceolata Hand.-Mazz.
長葉假糙蘇紅花,Paraphlomis lanceolata Hand.-Mazz. var. subrosea Hand.-Mazz.
长叶假糙苏红花,Paraphlomis lanceolata Hand.-Mazz. var. subrosea Hand.-Mazz.
无柄,Paraphlomis lanceolata var. sessilifolia Hand.-Mazz.
無柄,Paraphlomis lanceolata var. sessilifolia Hand.-Mazz.
云和假糙苏,Paraphlomis lancidentata Sun
雲和假糙蘇,Paraphlomis lancidentata Sun
薄萼假糙苏,Paraphlomis membranacea C. Y. Wu et H. W. Li
薄萼假糙蘇,Paraphlomis membranacea C. Y. Wu et H. W. Li
奇异假糙苏,Paraphlomis pagantha Doan
奇異假糙蘇,Paraphlomis pagantha Doan
小花假糙苏,Paraphlomis parviflora C. Y. Wu et H. W. Li
小花假糙蘇,Paraphlomis parviflora C. Y. Wu et H. W. Li
展毛假糙苏,Paraphlomis patentisetulosa C. Y. Wu et H. W. Li
展毛假糙蘇,Paraphlomis patentisetulosa C. Y. Wu et H. W. Li
少刺毛假糙苏,Paraphlomis paucisetosa C. Y. Wu et H. W. Li
少刺毛假糙蘇,Paraphlomis paucisetosa C. Y. Wu et H. W. Li
折齿假糙苏,Paraphlomis reflexa C. Y. Wu et H. W. Li
折齒假糙蘇,Paraphlomis reflexa C. Y. Wu et H. W. Li
刺萼假糙苏,Paraphlomis seticalyx C. Y. Wu et H. W. Li
刺萼假糙蘇,Paraphlomis seticalyx C. Y. Wu et H. W. Li
小刺毛假糙苏,Paraphlomis setulosa C. Y. Wu et H. W. Li
小刺毛假糙蘇,Paraphlomis setulosa C. Y. Wu et H. W. Li
近革叶假糙苏,Paraphlomis subcoriacea C. Y. Wu et H. W. Li
近革葉假糙蘇,Paraphlomis subcoriacea C. Y. Wu et H. W. Li
绒头假糙苏,Paraphlomis tomentosocapitata Yamamoto
絨頭假糙蘇,Paraphlomis tomentosocapitata Yamamoto
假牛鞭草属,Parapholis
假牛鞭草屬,Parapholis
假牛鞭草,Parapholis incurva (L.) C. E. Hubb.
假福王草属,Paraprenanthes
假福王草屬,Paraprenanthes
圆耳假福王草,Paraprenanthes auriculiformis Shih
圓耳假福王草,Paraprenanthes auriculiformis Shih
密毛假福王草,Paraprenanthes glandulosissima (Chang) Shih
長柄假福王草,Paraprenanthes gracilipes Shih
长柄假福王草,Paraprenanthes gracilipes Shih
三角叶假福王草,Paraprenanthes hastata Shih
三角葉假福王草,Paraprenanthes hastata Shih
雷山假福王草,Paraprenanthes heptantha Shih et D. J. Liou
狭裂假福王草,Paraprenanthes longiloba Ling et Shih
狹裂假福王草,Paraprenanthes longiloba Ling et Shih
绿春假福王草,Paraprenanthes luchunensis Shih
綠春假福王草,Paraprenanthes luchunensis Shih
三裂假福王草,Paraprenanthes multiformis Shih
节毛假福王草,Paraprenanthes pilipes (Migo) Shih
節毛假福王草,Paraprenanthes pilipes (Migo) Shih
蕨叶假福王草,Paraprenanthes polypodifolia (Franch.) Chang
蕨葉假福王草,Paraprenanthes polypodifolia (Franch.) Chang
异叶假福王草,Paraprenanthes prenanthoides (Hemsl.) Shih
異葉假福王草,Paraprenanthes prenanthoides (Hemsl.) Shih
箭耳假福王草,Paraprenanthes sagittiformis Shih
假福王草,Paraprenanthes sororia (Miq.) Shih
林生假福王草,Paraprenanthes sylvicola Shih
云南假福王草,Paraprenanthes yunnanensis (Franch.) Shih
雲南假福王草,Paraprenanthes yunnanensis (Franch.) Shih
虾尾兰属,Parapteroceras
蝦尾蘭屬,Parapteroceras
虾尾兰,Parapteroceras elobe (Seidenf.) Averyanov
蝦尾蘭,Parapteroceras elobe (Seidenf.) Averyanov
翅果蓼属,Parapteropyrum
翅果蓼屬,Parapteropyrum
翅果蓼,Parapteropyrum tibeticum A. J. Li
多瓣核果茶属,Parapyrenaria
多瓣核果茶屬,Parapyrenaria
多瓣核果茶,Parapyrenaria multisepala (Merr. et Chun) Chang
拟楼斗菜属,Paraquilegia
擬樓鬥菜屬,Paraquilegia
乳突拟耧斗菜,Paraquilegia anemonoides (Willd.) Engl. ex Ulbr
乳突擬耬鬥菜,Paraquilegia anemonoides (Willd.) Engl. ex Ulbr
拟耧斗菜,Paraquilegia microphylla (Royle) Drumm. et Hutch.
擬耬鬥菜,Paraquilegia microphylla (Royle) Drumm. et Hutch.
地皮消属,Pararuellia
地皮消屬,Pararuellia
节翅地皮消,Pararuellia alata H. P. Tsui
節翅地皮消,Pararuellia alata H. P. Tsui
罗甸地皮消,Pararuellia cavaleriei (Levl.) E. Hossain
羅甸地皮消,Pararuellia cavaleriei (Levl.) E. Hossain
地皮消,Pararuellia delavayana (Baill.) E. Hossain
海南地皮消,Pararuellia hainanensis C. Y. Wu et H. S. Lo.
蟹甲草属,Parasenecio
蟹甲草屬,Parasenecio
兔儿风蟹甲草,Parasenecio ainsliiflorus (Franch.) Y. L. Chen
兔兒風蟹甲草,Parasenecio ainsliiflorus (Franch.) Y. L. Chen
作宾两似蟹甲草,Parasenecio ambignus var. wangiamm (Ling) Y. L. Chen
作賓兩似蟹甲草,Parasenecio ambignus var. wangiamm (Ling) Y. L. Chen
两似蟹甲草,Parasenecio ambiguus (Ling) Y. L. Chen
兩似蟹甲草,Parasenecio ambiguus (Ling) Y. L. Chen
耳叶蟹甲草,Parasenecio auriculatus (DC.) H. Koyama
耳葉蟹甲草,Parasenecio auriculatus (DC.) H. Koyama
秋海棠叶蟹甲草,Parasenecio begoniaefolius (Franch.) Y. L. Chen
秋海棠葉蟹甲草,Parasenecio begoniaefolius (Franch.) Y. L. Chen
珠芽蟹甲草,Parasenecio bulbiferoides (Hand.-Mazz.) Y. L. Chen
藏南蟹甲草,Parasenecio chola (W. W. Smith) Y. L. Chen
轮叶蟹甲草,Parasenecio cyclotus (Bur. et Franch.) Y. L. Chen
輪葉蟹甲草,Parasenecio cyclotus (Bur. et Franch.) Y. L. Chen
山西蟹甲草,Parasenecio dasythyrsus (Hand.-Mazz.) Y. L. Chen
翠雀叶蟹甲草,Parasenecio delphiniphyllus (Levl.) Y. L. Chen
翠雀葉蟹甲草,Parasenecio delphiniphyllus (Levl.) Y. L. Chen
三角叶蟹甲草,Parasenecio deltophyllus (Maxim.) Y. L. Chen
三角葉蟹甲草,Parasenecio deltophyllus (Maxim.) Y. L. Chen
大叶蟹甲草,Parasenecio firmus (Komar.) Y. L. Chen
大葉蟹甲草,Parasenecio firmus (Komar.) Y. L. Chen
蟹甲草,Parasenecio forrestii W. W. Smith et Small
甘肃蟹甲草,Parasenecio gansuensis Y. L. Chen
甘肅蟹甲草,Parasenecio gansuensis Y. L. Chen
山尖子,Parasenecio hastatus (L.) H. Koyama
无毛山尖子,Parasenecio hastatus var. glaber (Leber.) Y. L. Chen
無毛山尖子,Parasenecio hastatus var. glaber (Leber.) Y. L. Chen
戟状蟹甲草,Parasenecio hastiformis Y. L. Chen
戟狀蟹甲草,Parasenecio hastiformis Y. L. Chen
黄山蟹甲草,Parasenecio hwangshanicus (Ling) Y. L. Chen
黃山蟹甲草,Parasenecio hwangshanicus (Ling) Y. L. Chen
紫背蟹甲草,Parasenecio ianthophyllus (Franch.) Y. L. Chen
九龙蟹甲草,Parasenecio jinlongensis Y. L. Chen
九龍蟹甲草,Parasenecio jinlongensis Y. L. Chen
康县蟹甲草,Parasenecio kangxianensis (Z. Y. Zhang et Y. H. Gou) Y. L. Chen
康縣蟹甲草,Parasenecio kangxianensis (Z. Y. Zhang et Y. H. Gou) Y. L. Chen
星叶蟹甲草,Parasenecio komarovianus (Poljark.) Y. L. Chen
星葉蟹甲草,Parasenecio komarovianus (Poljark.) Y. L. Chen
瓜拉坡蟹甲草,Parasenecio koualapensis (Franch.) Y. L. Chen
