NAME_CN,SCIENTIFIC_NAME
劍葉槭,Acer lanceolatum Moll.
兰坪槭,Acer lanpingense Fang et Fang f.
蘭坪槭,Acer lanpingense Fang et Fang f.
十蕊槭,Acer laurinum Hassk.
疏花槭,Acer laxiflorum Pax var. laxiflorum
长叶疏花槭,Acer laxiflorum var. dolichophyllum Fang
長葉疏花槭,Acer laxiflorum var. dolichophyllum Fang
秃梗槭,Acer leiopodum (Hand.-Mazz.) Fang et Chow
禿梗槭,Acer leiopodum (Hand.-Mazz.) Fang et Chow
雷波槭,Acer leipoense Fang et Soong
白毛雷波槭,Acer leipoense subsp. leucotrichum Fang
细叶槭,Acer leptophyllum Fang
細葉槭,Acer leptophyllum Fang
临安槭,Acer linganense Fang et P. L. Chiu
臨安槭,Acer linganense Fang et P. L. Chiu
福州槭,Acer lingii Fang.
长叶槭,Acer litseaefolium Hayata
長葉槭,Acer litseaefolium Hayata
长翅槭,Acer longicarpum Hu et Cheng
長翅槭,Acer longicarpum Hu et Cheng
长柄槭,Acer longipes Franch. ex Rehd.
長柄槭,Acer longipes Franch. ex Rehd.
城步长柄槭,Acer longipes var. chengbuense Fang
城步長柄槭,Acer longipes var. chengbuense Fang
南川长柄槭,Acer longipes var. nanchuanense Fang
南川長柄槭,Acer longipes var. nanchuanense Fang
卷毛长柄槭,Acer longipes var. pubigerum (Fang) Fang
卷毛長柄槭,Acer longipes var. pubigerum (Fang) Fang
维西长柄槭,Acer longipes var. weixiense Fang
維西長柄槭,Acer longipes var. weixiense Fang
亮叶槭,Acer lucidum Metc.
亮葉槭,Acer lucidum Metc.
龙胜槭,Acer lungshengense Fang et L. C. Hu
龍勝槭,Acer lungshengense Fang et L. C. Hu
楠叶槭,Acer machilifolium Hu et Cheng
楠葉槭,Acer machilifolium Hu et Cheng
东北槭,Acer mandshuricum Maxim.
東北槭,Acer mandshuricum Maxim.
甘肃槭,Acer mandshuricum subsp. kansuense (Fang et C. Y. Chang) Fang
甘肅槭,Acer mandshuricum subsp. kansuense (Fang et C. Y. Chang) Fang
马边槭,Acer mapienense Fang
馬邊槭,Acer mapienense Fang
五尖槭,Acer maximowiczii Pax
紫叶五尖槭,Acer maximowiczii subsp. porphyrophyllum Fang
紫葉五尖槭,Acer maximowiczii subsp. porphyrophyllum Fang
大齿槭,Acer megalodum Fang et Su
大齒槭,Acer megalodum Fang et Su
南岭槭,Acer metcalfii Rehder
南嶺槭,Acer metcalfii Rehder
苗山槭,Acer miaoshanicum Fang
庙台槭,Acer miaotaiense P. C. Tsoong
廟臺槭,Acer miaotaiense P. C. Tsoong
色木槭,Acer mono Maxim.
弯翅色木槭,Acer mono var. incurvatum Fang et P. L. Chiu
彎翅色木槭,Acer mono var. incurvatum Fang et P. L. Chiu
大翅色木槭,Acer mono var. macropterum Fang
岷山色木槭,Acer mono var. minshanicum Fang
三尖色木槭,Acer mono var. tricuspis (Rehd.) Rehd.
纳雍槭,Acer nayongense Fang
納雍槭,Acer nayongense Fang
湖南槭,Acer nayongense var. hunanense (Fang et W. K. Hu) Fang et W. K. Hu
梣叶槭,Acer negundo L.
梣葉槭,Acer negundo L.
毛果槭,Acer nikoense Maxim.
绿叶飞蛾槭,Acer oblongum var. concolor Pax
綠葉飛蛾槭,Acer oblongum var. concolor Pax
宽翅飞蛾槭,Acer oblongum var. oblongum
寬翅飛蛾槭,Acer oblongum var. oblongum
峨眉飞蛾槭,Acer oblongum var. omeiense Fang et Soong
峨眉飛蛾槭,Acer oblongum var. omeiense Fang et Soong
